COD_MUN;MUNICIPIO;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002
2200053;PI-ACAUA;24;19;20;20;23;24;21;25;62;3;5;3;2;2;0;0;0;0;0;0;0
2200103;PI-AGRICOLANDIA;5;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1
2200202;PI-AGUA BRANCA;121;119;105;89;67;80;73;75;46;39;32;22;17;17;15;15;12;9;10;9;14
2200251;PI-ALAGOINHA DO PIAUI;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;9
2200277;PI-ALEGRETE DO PIAUI;2;1;20;68;99;50;45;45;51;20;0;0;0;0;0;0;0;0;0;0;0
2200301;PI-ALTO LONGA;15;11;6;12;11;8;14;8;3;8;3;16;16;5;1;1;1;1;2;2;2
2200400;PI-ALTOS;264;275;251;243;274;256;271;211;197;152;142;176;148;221;48;69;63;669;864;516;466
2200459;PI-ALVORADA DO GURGUEIA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;2;2
2200509;PI-AMARANTE;41;18;15;14;17;6;8;16;8;4;21;28;29;7;7;4;4;3;3;5;5
2200608;PI-ANGICAL DO PIAUI;1;2;3;3;3;4;6;5;6;3;3;7;5;5;6;5;5;5;5;5;4
2200707;PI-ANISIO DE ABREU;18;21;19;19;18;25;35;21;23;33;16;14;15;15;15;10;1;1;1;1;1
2200806;PI-ANTONIO ALMEIDA;96;66;67;49;120;92;80;30;135;126;85;126;93;96;104;89;68;71;96;100;50
2200905;PI-AROAZES;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1
2200954;PI-AROEIRAS DO ITAIM;58;66;47;49;53;52;52;31;0;0;0;0;0;0;0;0;0;0;0;0;0
2201002;PI-ARRAIAL;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;2;2;2
2201051;PI-ASSUNCAO DO PIAUI;;;;;;;;;;;;;;;;;;;;;
2201101;PI-AVELINO LOPES;7;4;4;4;16;17;16;19;32;32;20;60;24;25;21;25;19;6;6;6;6
2201150;PI-BAIXA GRANDE DO RIBEIRO;31;50;133;55;20;22;9;10;20;15;7;3;3;4;7;4;3;2;3;0;0
2201176;PI-BARRA D'ALCANTARA;;;;;;;;;;;;;;;;;;;;;
2201200;PI-BARRAS;208;121;136;137;127;131;137;139;146;137;122;120;105;103;100;94;75;81;70;77;72
2201309;PI-BARREIRAS DO PIAUI;1;1;1;1;1;1;1;2;2;2;2;3;3;2;2;2;3;3;3;3;3
